strain,geno,N,comp_ind_inoc,sd_inoc,se_inoc,ci_inoc,comp_ind_sup,sd_sup,se_sup,ci_sup
122A,OC,115,1.006893114,0.109689813,0.010228628,0.020262833,0.847498058,0.213280092,0.019888471,0.039398908
126B,OC,115,0.804633494,0.081968658,0.007643617,0.015141946,1.189550075,0.233063524,0.021733286,0.043053472
135A,OE,115,1.126766271,0.104169318,0.009713839,0.01924304,0.750734132,0.191424761,0.017850451,0.035361606
135B,OE,115,1.055747764,0.079862767,0.007447241,0.014752928,0.817761793,0.181600696,0.016934352,0.033546821
137B,OA,115,0.989344885,0.216147058,0.020155817,0.039928518,1.037613975,0.154546356,0.014411522,0.028549114
144A,OA,115,0.803166951,0.143959602,0.013424302,0.026593439,0.979855796,0.112624287,0.010502269,0.020804914
145B,OA,115,0.875643903,0.225701973,0.021046817,0.041693583,0.95726225,0.14430795,0.013456786,0.026657789
147A,OC,115,1.169828109,0.149600268,0.013950297,0.027635431,0.91770067,0.123682309,0.011533435,0.022847646
149A,OE,115,1.057386229,0.107777687,0.010050321,0.019909609,0.827263769,0.247247744,0.023055971,0.045673701
152A,OA,115,0.98098596,0.227732794,0.021236193,0.042068734,0.999267498,0.188859836,0.017611271,0.034887791
152B,OA,115,0.83644334,0.183095589,0.017073752,0.033822971,1.085305558,0.175912799,0.016403953,0.032496105
154C,OA,115,0.612279711,0.173399478,0.016169585,0.032031823,1.269433133,0.247855359,0.023112631,0.045785945
157B,OC,115,1.006168504,0.129971847,0.012119937,0.024009502,0.981903159,0.148742917,0.013870349,0.027477054
158,OC,115,1.020337472,0.117523305,0.010959105,0.021709902,0.980796934,0.178939119,0.016686159,0.033055152
159,OE,115,1.022505768,0.099678764,0.009295093,0.018413507,0.935685644,0.216585565,0.020285097,0.040188435
165A,OC,115,0.965820166,0.111619579,0.010408579,0.020619316,0.997864071,0.155310824,0.014482809,0.028690333
168A,OE,115,1.381475998,0.35270659,0.032890059,0.065154954,0.883297821,0.134186374,0.012512944,0.024788046
170C,OC,115,1.142814048,0.144052768,0.01343299,0.026610649,0.92403323,0.125454637,0.011698705,0.023175045
41,CC,115,0.963990062,0.102950242,0.00960016,0.019017842,0.992268571,0.165589251,0.015441277,0.030589051
53,CC,114,1.012785669,0.135282394,0.012670357,0.025102263,1.001421083,0.152233927,0.014258014,0.028247697
57,CC,115,1.034517814,0.221479592,0.020653078,0.040913589,1.00253229,0.160284042,0.014946564,0.029609028
67,CC,115,0.977952737,0.167240232,0.015595232,0.030894035,1.0745835,0.169367132,0.015793566,0.031286934
74,CC,115,0.942095934,0.112152906,0.010458312,0.020717836,1.188160476,0.219606476,0.020478409,0.040567571
77,CC,114,0.9486557,0.113248375,0.010606682,0.02101375,1.096234512,0.202285138,0.018863186,0.037367827
